	Exp027703	Exp027705	Exp027706	Exp027710	Exp027718	Exp027719	Exp027720	Exp027723	Exp027727	Exp031328	Exp033151	Exp033884	Exp033885	Exp033892	Exp033897	Exp033899	Exp034539	Exp034558	Exp034561	Exp034562	Exp034566	Exp034568	Exp034955	Exp034956	Exp034957	Exp034958	Exp035076	Exp035077	Exp027707	Exp027709	Exp027711	Exp027713	Exp027716	Exp027721	Exp027722	Exp027724	Exp027728	Exp028551	Exp031327	Exp033040	Exp033042	Exp033043	Exp033044	Exp033045	Exp033294	Exp033298	Exp033883	Exp033886	Exp033887	Exp033888	Exp033889	Exp033893	Exp033895	Exp035078	Exp035079	Exp036989	Exp036990	Exp036992	Exp036993	Exp036994	Exp036995	Exp036996	Exp036997	Exp036998	Exp036999	Exp037000	Exp037001	Exp037002	Exp037003	Exp037004	Exp037005	Exp037007	Exp037009	Exp037010	Exp037011	Exp037012	Exp037016	Exp037018	Exp037020	Exp037021	Exp037022	Exp037023	Exp037024	Exp043648	Exp027725	Exp028546	Exp028547	Exp028548	Exp028550	Exp028837	Exp030426	Exp030909	Exp031239	Exp031241	Exp031330	Exp031332	Exp031333	Exp031334	Exp033003	Exp033005	Exp033041	Exp033047	Exp033048	Exp033049	Exp033148	Exp033149	Exp033150	Exp033295	Exp033296	Exp033297	Exp033299	Exp033301	Exp033303	Exp033880	Exp033881	Exp033890	Exp033891	Exp034526	Exp034527	Exp034528	Exp034529	Exp034530	Exp034531	Exp034532	Exp034533	Exp034540	Exp034541	Exp034542	Exp034552	Exp034560	Exp034563	Exp034565	Exp034952	Exp034954	Exp034966	Exp035060	Exp035061	Exp035062	Exp035066	Exp035067	Exp035080	Exp035081	Exp035083	Exp037006	Exp041345	Exp041346	Exp041347	Exp041348	Exp041349	Exp041351	Exp041353	Exp041354	Exp041355	Exp041357	Exp041358	Exp042805	Exp042811	Exp043639	Exp043641	Exp028839	Exp033002	Exp033152	Exp033302	Exp034567	Exp034961	Exp034962	Exp034964	Exp035063	Exp035064	Exp035065	Exp035069	Exp035070	Exp035071	Exp035072	Exp035073	Exp035074	Exp036991	Exp042803	Exp042810
SEC23B	1.8807	0.4327	2.3892	3.6384	0.6608	1.3664	0.7399	2.7694	2.9581	2.3057	1.3229	0.637	2.1816	1.4207	3.0015	2.5144	1.8653	1.9692	0.6304	1.1613	3.7518	2.1738	1.542	0.9145	2.281	1.3251	2.8962	1.9744	10.6821	1.8606	11.6186	7.9408	10.4149	2.8055	4.2121	2.5613	6.8929	1.1485	4.0673	5.6884	3.562	1.804	3.3632	2.8661	8.0629	3.5786	0.498	3.9279	4.5107	5.771	3.1434	4.3263	1.6414	1.0622	2.6848	1.5711	1.0343	1.6363	0.4916	0.4911	1.1529	2.2461	2.2474	3.8283	0.541	1.3138	5.1868	2.661	2.9337	2.7726	2.094	5.4881	1.3023	2.7982	1.1089	0.8415	2.8839	3.4234	0.9082	4.0435	2.7951	2.5143	4.6928	2.7149	1.0286	0	0.9217	0.5712	0.2753	1.5464	0.7022	1.0605	2.738	1.3629	2.9258	4.2756	2.7313	4.0866	0.6356	1.6707	1.8053	2.9427	2.3593	0.804	1.8589	1.1661	1.1319	0.8188	2.4512	3.0257	0.9249	2.0146	2.6303	0.3121	0.9188	2.6464	1.4207	0.2781	2.6009	3.1869	1.5817	2.3287	2.2099	2.3901	1.7862	0.0993	1.3248	4.1098	0.553	0.961	0.8858	1.3489	1.548	1.6945	2.2624	4.6517	3.8201	2.5375	1.3608	0.769	3.2422	0.9638	0.4611	1.01	3.199	2.6736	3.7821	0.7037	1.9393	0.6341	0.4033	0.348	0.5564	0.3733	1.291	1.8425	1.5469	2.7812	2.6758	0	0.6963	0.6759	6.858	1.1662	2.8699	1.1681	0.8101	0.712	1.4831	0.3736	0.9711	1.0695	2.9603	4.4653	1.1116	1.5286	1.8111	0.4102	0.4423
PCIF1	0	0	0	0.1633	0.0447	0.1109	0	0.1674	0	0	0	0	0	0	0	0.0446	0.0629	0.0536	0	0	0.1351	0.0749	0.4159	0.0666	0.081	0	0	0.2092	0.1908	0.3259	0.1075	0.183	0.6925	0.6408	0	0	0.1669	0	0	0	0	0.0797	0	0.2798	0.0911	0.081	0.0701	0.8404	0.0724	0.0686	0	0.1015	0.1772	1.9298	0.3389	0.0923	0	0.0845	0.374	0.1742	0.1201	0.2598	0.2664	0	0	0.1457	0.2025	0	0.333	0.1671	0.2786	0	0.0925	0.057	0.1737	0.1613	0	0	0.168	0	0.2318	0.2048	0.0571	0.0872	0	0	0	0	0	0	0.2613	0.2915	0	0.1781	0.0938	0.4336	0.4236	0.1284	0	0	0	0	0	0.0638	0	0.0656	0.1172	0	0.0375	0	0	0	0	0	0	0.0361	0	0	0.0728	0.0257	0.0416	0.047	0.4113	0	0	0	0	2.2351	0	0	0	0	0	0	0	0	0	0	0	0.0078	0	0.0432	0	0	0.0611	0	0.0408	0	1.2983	1.9872	0.3998	0.0957	0	0	0	0.1104	0.1566	0	0	0.087	0	0.1148	0.0643	0.1445	0.1078	0	0	0.1939	0	0	0	0	0	0.1734	0	0.3917	0.3122	0	0
KLC1	1.913	0.3906	0.0715	1.3058	0.6112	0.9573	0.7985	1.2751	0.6691	0.7594	1.2599	0.1828	0.2236	0.5272	0.2991	0	0.4758	0.4649	0.6461	1.1236	0.642	0.7468	0.574	1.6002	0.7062	1.4653	1.1831	0.3473	0.4428	0.6873	0.5385	0.7453	0.9234	2.4965	0.6292	1.1144	0.7329	1.5688	0.5425	0.8841	1.1501	0.6287	0.8281	0.3061	0.921	0.855	0.4771	0.4008	0.5678	0.9837	0.2381	1.7361	1.0401	1.4282	4.118	0.6584	0.5614	1.0727	1.3651	0.6816	0.4752	1.1324	0	0.7303	3.0037	2.6188	0.8976	0.6118	0.7631	0.847	0.2789	0.2047	5.0206	2.0743	1.1663	1.3845	0.6609	0.8678	0.4794	2.7753	0.674	0.3615	1.648	1.4231	0.732	0.1906	0.3577	0.8506	0.5529	3.2483	0	1.2802	0.0774	0.1201	0.2653	0.4049	0.4465	0.495	0.0461	0.0912	1.3709	0	0.1482	0.3685	0.1953	0.011	0.0858	0.1054	0.8851	0	0.506	0.1211	0.7183	1.0716	0.2933	1.6032	0.8461	0.2668	0.5482	0.7428	0.521	1.0811	0.2073	0	0	1.2511	0.3161	0.1828	1.5564	0.1083	0.7636	0.2384	0.2764	0.286	0.5309	0	0.1882	0	0	0.0493	0.4379	0.4082	0	0.6457	0.4078	0.3069	1.0839	1.3426	0.9312	0.9615	1.1909	2.0195	2.3647	0.1681	0.2285	1.4234	0.4679	0.7134	0.2147	0.6415	0.1823	0.3048	0.6312	1.3049	0.7476	3.1918	0.6663	1.316	0.5136	0.6493	0.4015	0.3544	0.7871	1.4338	0.2103	2.8423	0.4222	1.8175	1.7291
PWP2	0.24	0	0.2848	0.1734	0.3611	0.1916	0.6111	0.1864	0.0783	0.2126	0.526	0	0	0.0326	0.1731	0.0435	0	0.1564	0	0.0554	0.3515	0.0213	0.2831	0.2654	0.2527	0.2858	0.2746	0	0	0.0985	0	0.4335	0.6839	0	0.052	0.4574	0.0187	0.0428	0.2241	0.3522	0.2049	0.1354	0.2149	0.2317	0.2359	0	0	0.0838	0.0321	0	0.0456	0.0192	0	0.0501	0.1436	0.0416	0	0	0	0	0	0	0.046	0.1548	0.0661	0	0	0	0	0	0	0	0.2525	0.1363	0.1764	0.1195	0.0409	0.0224	0	0.0642	0.0727	0.1602	0	0.0788	0.6945	0	0.0538	0.0684	0.0965	0.1522	0.1206	0.2503	0	0.0508	0	0.2167	0.0728	0	0.0537	0	0.0304	0	0	0.0824	0.2312	0.0163	0	0.0345	5.6008	0	0	0	0.0508	0.0392	0.1178	0.1256	0.0825	0.1695	0.083	0.0103	0	0.3421	0.0387	0	0.2406	0.0308	0.1016	0.1195	0	0.0064	0.1494	0	0.0797	0	0.0453	0.1704	0.4171	0	0.1278	0.0221	0	0.05	0.0618	0.0615	0.1541	0.09	0.1977	0.1005	0.0094	0.036	0.0416	0	0.3247	0	0.2382	0	0.3507	0.4111	0	0	0.2093	0.0667	0.2978	0.016	0.3102	0.1777	0.5195	0.3692	0.303	0.0681	0.0432	0.4636	0.2724	0.4583	0.1502	0.3998	0.1405	0	0.247
DSP	1.0616	0.6538	0.8485	1.1371	6.5545	3.9956	2.2036	1.5307	2.2511	1.2311	0.4507	0.168	0.568	0.5327	0.926	0.6353	1.6196	0.3932	0.3961	0.317	0.4432	0.8181	2.7079	5.462	2.5303	3.5501	17.1632	1.879	1.5948	1.8365	5.8971	9.1731	6.8404	1.539	1.1702	8.851	0.2468	1.5525	3.2445	0.2669	0.0958	0.2276	0.4592	0.6879	0.8693	1.1651	0.6162	0.4473	1.0693	0.6163	0.2719	0.0285	1.1495	2.015	2.9633	0.7161	0.1859	0.2039	0.7747	3.6721	0.8893	0.3567	0.44	1.5265	0.4468	0.1413	1.086	0.506	0.2625	1.6162	0.7176	0.7108	0.8055	0.8698	0.7203	1.233	2.5729	2.1027	0.8679	1.0817	0.3599	0.7649	0.7789	1.1444	6.7816	0.3788	0.8021	1.3571	1.7629	1.0548	4.3722	2.3088	0.3646	0.7415	0.982	1.9974	1.1586	1.041	1.0215	1.973	1.2808	1.7844	0.4125	1.6385	1.5339	1.0903	1.186	2.6897	1.2395	5.8597	4.1883	6.3449	3.3605	1.8059	2.1533	2.0351	15.2312	1.1319	2.0331	2.3257	2.8664	1.8288	2.1342	2.0085	5.062	0.2046	1.1385	0.2915	1.2963	0.9636	10.0615	1.1719	2.1461	2.5088	0.8045	5.3797	3.0856	2.7487	0.8749	0.8426	2.4765	19.2365	20.0818	2.0842	1.8644	2.196	3.1957	1.4862	3.0031	0.9718	1.7615	2.2775	35.9446	1.6737	31.5805	3.1852	0.7867	1.4175	1.9774	0.7221	0.7972	0.4944	1.0836	3.5309	1.775	2.8231	1.1418	3.1451	0.398	6.2609	0.4657	0.8007	4.0382	1.4787	2.4012	4.5071	0.3189	1.1279	1.5989
MYD88	0	0	0	0.6127	0.1677	0.3189	0.262	0	0	0	0	0.049	0	0	0.0855	0	0.0771	0.1304	0.0735	0.5187	0.1349	0.3812	0.2403	0	0	0.1094	0	0.1233	0.1307	0	0.2177	0.1344	0.4861	0.382	0.222	0.3929	0.2169	0.4746	0	0	0	0	0.1891	0.223	0.6818	0.1251	0	0	0	0	0	0	0.032	0	0	0.2689	0.2965	0.3657	0.6951	0.076	0.1785	0.3577	0	0	0.4525	0.2842	0.2422	0.0987	0.3745	0.1298	0.3436	0.0952	0.1316	0.1638	0.1264	0.242	0.1991	0.2864	0.1578	0.4931	0.1797	0.2292	0.4185	1.1738	0	0	0.6077	0.1109	0	0.2265	0	0.112	0.1431	0.0409	0.2497	0	0.1323	0.3008	0	0	0.1188	0	0.0699	0.1554	0.1933	0	0.116	0	0.2603	0.2442	0	0.3178	0	0.1791	0.1962	1.2069	0.1668	0	0.2421	0.5953	0.2908	0.1354	0.0918	0.2526	0.3159	0.0168	0.5014	0	0.2782	0	0.5426	0.2764	0	0.0721	0.3963	0.4693	0.5666	0.3658	0	0.1653	0.2791	0.2193	0.0609	0.1569	0.0818	0.2737	0.1358	0.138	0.2184	0.0843	0.0476	0.1216	0.0464	0	0	0.3671	0.2897	0	0	0.1778	0	0	0.1558	0.2587	0.0624	0	0	0.3166	0	0	0.0844	0	0.1353	0	0	0	0.192	0.4444	0.2224
VPS33A	0	0	0	0.0518	0	0	0.1015	0	0.0586	0	0	0.084	0.0666	0	0	0	0.0587	0	0	0.0143	0.1901	0	0	0	0	0	0	0	0	0	0	1.0058	0	0	0	0	0	0.0643	0.1044	0.9959	0.1799	0.0882	0.6984	0.3308	0.0066	0.1791	0.0266	0.2507	0.2928	0.2659	0	0.1377	0.0059	0	0.2344	0.0172	0	0.1274	0	0.0458	0.0239	0.0106	0	0.0588	0.2746	0	0	0.0901	0	0.1593	0.044	0.135	0.2135	0	0.0374	0	0.0682	0.7531	0.0569	0.0736	0	0.0797	0.0937	0.1591	0.0713	0	0	0.0546	0.0334	0	0.1018	0.0772	0	0.1898	0.1191	0.1474	0	0.1788	0	0	0.137	0	0.0817	0.3242	0	0	0	0	0.0804	0	0.0505	0	0.0302	0.1277	0.303	0.1026	0	0	0.1075	0	0.1615	1.4445	0.1782	0	0.4765	0.0344	0	0.1768	0	0	0	0	0	0	0	0	0	0.025	0.0503	0	0.0459	0	0	0.1106	0.056	0	0.0312	0	0.0498	0.139	0	0.0386	0.234	0	0.5332	0.0555	0.1679	0.1868	0	0.0142	0	0.0655	0	0.0292	0	0	0.0182	0.1577	0.0767	0.041	0.1298	0	0.0797	0	0.1647	0	0.0851	0	0
ABCD3	0.2305	2.1106	1.4017	0.3175	1.1917	1.1964	1.4169	0.6923	2.2969	1.5081	2.0315	0.121	0.7644	1.0579	1.7521	2.2399	1.0891	0.7935	0.3519	0.7313	2.2365	1.1567	0.5703	0.8496	1.0486	0.955	1.513	0.4528	0	0.0447	0	0.2536	0.1399	0.1081	0	0	0.0485	0	0.1662	1.2628	0.339	0.412	0.5818	0.5416	0.6352	0.2965	0.1654	0.599	0.8268	0.7546	0.8348	0.7841	0.291	0.8144	1.4162	0.043	0	0	0.8039	0.0894	0.1355	0.3109	0.0762	0	0.3475	0.0781	0.5747	1.5047	0.3065	0	0.4173	1.8983	0.435	1.8005	0.6915	0.3118	0.7315	1.1198	0.6154	0.7998	1.2444	0.501	0.7449	0.7113	1.9324	0	0.3565	0.5737	1.2422	0	0.2353	2.3029	0.4212	0.4966	1.9128	0.8183	0.7171	1.6366	0.2148	0.2065	0.6629	0.555	0.8095	1.9586	0.5186	0.3601	0.7733	0.4347	1.2636	0	0.1972	0.8144	1.3952	0.138	0.3409	0.9294	0.9236	4.6639	1.7649	1.0394	0.6578	1.0161	0.8895	1.2033	1.3716	0.9434	1.7725	1.2079	7.0809	0.2956	0.7501	0.4402	0.3307	1.5773	0.3877	0.3536	3.2394	1.1875	1.3658	0.1798	1.7888	0.5569	0.2525	0.3904	1.1418	0.9655	1.1451	0.8424	0.7854	0.2587	0.7512	2.776	0.6927	0.2722	0.6813	1.0661	1.3251	1.7774	1.525	0.2475	0.4141	0.2531	1.9388	0.7818	1.316	0.746	0.9768	0.5278	1.1591	0.3373	0.8496	1.3511	0.9411	1.7292	0.864	2.1216	0.2883	0.3073	0.6645
APPL2	0.1676	0.1915	0.1661	1.5737	0.2108	0.3007	0	0.3201	0.1905	0.3152	0.1766	0	0.1293	0.0631	0.3041	0	0.2393	0.1027	0	0.8987	0.0205	0.0463	0.0908	0.0453	0.0583	0.0458	0.2754	0.0801	0	0	0.0378	0	0.3546	0.0878	0	0	0	0.2091	0	0	0.0483	0.0859	0.1726	0.0704	0.4459	0.0792	0.0626	0.5833	0.5471	0.4616	0.097	0.4563	0.4017	0	0.0333	0.0809	0	0.0674	1.0454	0	0.1188	0.6002	0.0789	0.1196	0.4188	0.2396	0.1693	0.2871	0.247	0.1321	0.1909	0.0889	0.2273	0.0578	0.3566	0	0.2835	0.0466	0	0.117	0.5595	0	0.3104	0.1711	0.899	0.1059	0.1319	0.1112	0.3064	0.2886	0	0.5442	0.052	0.1445	0.1388	0.091	0.1299	0.2127	0.0131	0	0	0.0321	0	0.1674	0	0	0.1586	0.0385	0.1475	0	0	0	0.1239	0	0	0.2096	0	0	0.3671	0.0516	0.1049	0.0434	0.06	0.0275	0.3203	0	0.1683	0.0342	0.0796	0	0	0	0.237	0.1408	0.0369	0	0.0397	0.0523	0.0239	0	0	0	0	0	0.1655	0	0.094	0.1903	0.8057	0.2186	0.1139	0.2247	0.0668	0.0683	0	0.0827	0.0413	0.2927	0.0738	0	0	0	0.0781	0.4028	0.3147	0	0	0	0.1021	0.0366	0.0576	0.0655	0.0803	0.4686	0.0795	0.0314	0.2182	0	0.1676
PARP14	0.0875	0.1139	0.2499	0.2958	0	0.1286	0.0354	0.1423	0.1127	0.0313	0.0748	0	0.1381	0.0309	0.1121	0.006	0.1388	0.0784	0.0035	0.0183	0.1312	0.02	0.0253	1.3222	0.1005	0.086	0.6265	0.0904	0	0.0958	0.2538	0.1446	0.0364	0.0413	0.1425	0.1262	0.0277	0.0838	0.6183	0.2553	0.0747	0.0988	0.3907	0.0076	0.0443	0.0698	0.051	0.3653	0.3113	0.2933	0.0826	0.1234	0.3597	0.0383	0.3127	0.0928	0	0.0773	0.1645	0.0498	0.1032	0.0189	0.0294	0.0854	0.1795	0	0.0303	0.1045	0.0917	0.0565	0.0402	0.1602	0.0625	0.0948	0.0119	0.2648	0.1928	0.3108	0.0159	0.0962	0.1707	0.0875	0.0826	0.5312	0.2166	0	0.3264	0.007	0	0.2004	0	0.2533	0.2191	0	0.135	0.0651	0.0138	0.1146	0	0	0.0801	0	0.1303	0.0063	0.0979	0.0204	0	0.0692	2.0426	0	0.068	0.0316	0.0514	0.0417	0.3277	0.1778	0.1491	0.0252	0.3349	0.0952	0.0944	0.1065	0.2551	0	0.1579	0	0.3001	0.2823	0.115	0.0192	0.0687	0.0059	0	0	0.1432	0.2614	0.1462	0.1737	0.0016	0	0.1881	0.118	0.0799	0.6486	0.0658	0.0684	0.2971	0.1387	0.0726	0.125	0.3089	0.3179	0.2035	0	0.2354	0.6488	0.5304	0.0792	0.0275	0.0692	0.0393	0.012	0.0518	0.612	0.1116	0.3116	0.0589	0.1579	0.114	0.2225	0.0213	0.0389	0.15	0.4241	0.0185	0.125	0	0.1851	0.5157
VWA1	2.2208	2.9061	6.358	2.0395	1.3558	1.7208	0.3095	4.6463	1.451	2.1056	8.9247	0.9218	1.0079	3.5779	1.0215	2.3462	2.0202	1.4324	0.6669	1.4853	2.7965	3.9502	2.9341	12.9265	13.816	5.7659	1.4	1.5936	1.7824	2.0819	4.359	2.6397	1.3207	2.3264	2.0893	3.0583	3.0499	3.8907	2.0926	4.9264	1.4284	2.7913	5.3953	3.4087	0.8911	3.6866	1.1802	2.4926	2.3816	1.9856	2.2377	3.7273	2.3135	1.2732	2.0724	2.4579	2.0814	10.0825	3.2842	3.2041	2.1897	2.8162	7.5586	1.1549	7.0506	12.3355	7.0486	4.3185	4.116	2.8064	5.7137	4.9705	10.0451	1.7232	2.936	4.9581	1.1793	2.163	5.7685	10.316	3.0605	2.1735	2.5677	0.6322	1.085	1.2781	0.5362	2.8233	0	1.3408	2.1493	0.9235	0.5006	0.4235	0.7143	1.8449	0.9337	2.3943	1.2917	1.2169	3.8647	1.0959	4.6654	3.6437	1.8692	1.4419	0.9684	2.1163	1.382	1.0739	0.7857	1.8924	4.4162	9.1978	2.9625	1.5839	1.3563	0	2.7357	1.6257	3.0595	6.5905	2.1306	3.3481	0.7574	2.5844	2.0508	3.4558	1.0395	0.6327	0.3352	2.1082	1.0892	1.5892	8.102	3.4487	4.2416	3.3842	1.4329	0.426	6.0518	1.6508	0	0.6719	1.6434	0.49	0.439	0.3222	0.9534	2.0274	2.0079	1.8117	0.3119	0	0.4721	1.3297	0.8143	3.2273	4.6525	3.5831	0.578	5.4144	3.1022	4.5694	10.2796	7.2056	5.2095	1.831	5.9861	0.5184	1.4389	9.2108	0.418	4.6455	2.7158	10.4146	9.652	12.138	3.4954
BRIX1	0.0928	0	0	0	0.1073	0.0419	0.254	0	0.1239	0	0	0	0.0394	0.0964	0.201	0.0993	0.4837	0.1156	0	0.1913	0.1442	0.0994	0.0294	0.0631	0.0775	0.1439	0.0574	0.0413	0	0.044	0	0	0.1106	0	0	0	0	0	0	0.1594	0	0.0847	0	0.185	0.0493	0.1489	0.0508	0	0.0916	0	0	0	0.088	0.1149	0.2134	0	0	0	0	0.0206	0	0.2676	0	0	0.1084	0	0	0.2357	0	0	0	0.3064	0.2678	0.3497	0.1871	0	0.049	1.097	1.0602	0.1222	0	0	0	0.2015	0	0	0	0	0	0	0	0	0	0.0464	0	0.1534	0.1728	0.1246	0	0	0.1146	0	0.077	0.1837	0.0546	0.0561	0.1474	0	0.0361	0	0	0	0	0.2639	0.389	0.0379	0	0	0.1142	0.1519	0.0952	0.4774	0.0366	0	0.0253	0	0	0	0.0543	0.0579	0.2169	0.0802	0	0	0.0684	0	0.2424	0	0.049	0.0456	0.0864	0.0345	0	0.0284	0.0448	0.0808	0.0356	0.0208	0.0798	0	0	0	0.1585	0	0.2125	0	0	0.2457	0.2262	0	0.115	0.0526	0.1674	0.0359	0.1585	0.2524	0.6102	0.4005	0.2972	0.0568	0.0787	0.4361	0.1105	0.3237	0	0.4012	0.0457	0	0.121
ATAD3A	0.7317	0	0	1.2476	0.1331	0.7751	1.0119	0.9376	0.1699	1.2176	0.0507	1.364	0.7098	0.2927	1.0046	2.5971	0.7702	1.6901	0.5055	2.2769	2.2529	3.4337	4.0351	2.8486	1.8099	2.6633	0.5953	0.7844	2.7436	2.1247	0.4315	2.9815	0.9047	2.9028	0.0163	1.3174	0.3993	0.0888	0	0.7633	1.036	0.3487	1.934	0.4631	0.9401	1.6458	0.2066	0.336	0.3529	0.597	0.0521	1.5534	0.053	2.0081	1.1473	1.5242	0.7037	1.7194	0.3227	1.9741	0.4584	1.1637	1.9874	0.978	0.8288	0.9406	2.0057	1.9726	0.8171	2.1065	1.995	0.8244	1.067	0.8385	2.5554	0.2607	1.1488	4.0077	0.4133	2.9881	2.5554	1.9038	2.3954	1.3934	0	0.0189	0.2377	4.1536	0.2276	1.4971	4.4316	1.9636	1.7958	0.7497	1.0024	1.2855	2.0791	0.84	0	1.0432	0.8615	0	2.8245	5.1104	2.2041	0.5649	3.1431	1.0032	1.3751	0.1557	2.7776	2.322	3.1937	1.398	2.9752	2.8493	1.55	1.7066	2.4281	5.9696	2.948	3.5408	2.5673	7.3963	2.2423	0.6332	0.6215	1.8149	0.7137	1.336	2.3727	2.4897	0.4193	0.9582	2.6765	0	2.404	2.7254	0.3325	0.2645	0	0.9526	0.4489	0.3943	1.3793	3.8631	1.6552	0.4548	1.2979	1.7574	0.7932	0.2391	2.256	0.3272	0.7002	4.9459	0.377	1.1583	0.7963	0	0.2391	0.3742	1.2122	2.6841	1.4355	3.9862	1.6124	2.3925	2.6601	0.6531	0.7536	1.0812	0.2992	1.8324	0.6556	2.816	1.3065	0	0.9039
MACF1	1.132	0.1772	0.3672	0.257	0.0224	0.6429	0.9246	0.7306	1.1733	0.3073	0.2688	0.0018	0.0177	0.2929	0.0516	0	0.6613	0.0806	0.0278	0.2778	0.2271	0.0729	0.1516	0.1132	0.119	0.1312	0.4109	0.0573	0.0327	0.2604	0.2782	0.1589	0.338	0.5001	0.1267	0.6142	0.2545	0.9504	0.1895	0.0312	0.3044	0.0439	0.145	0.0743	0.3593	0.1875	0.0367	0.0592	0.2045	0.0757	0.0149	0.1165	0.0493	0.0433	0.2911	0.0648	0.0032	0.0714	0.1931	0.2003	0.3307	0.0378	0.022	0.2233	0.2768	0.1838	0.1087	0.1849	0.1536	0.4709	0.0486	0.0373	0.3776	0.0243	0.1574	0.0696	0.0592	0.131	0.3527	0.0526	0.1978	0.2141	0.0641	0.2011	0.1761	0	0.1831	0.1063	0.0714	1.7993	0.0464	0.3753	0	0.1105	0.0786	0.065	0.0137	0.0784	0	0.0048	0.5749	0	0	0.042	0.0074	0.1852	0.0673	0.3099	0.1842	0	0.0431	0.0094	0.0135	0.0591	0.1181	0.1641	0.1123	0.0361	0.1532	0.3605	0.0535	0.3581	0.4627	0.0533	0.0742	0.0094	0.5216	0	0.4315	0.0104	0.0926	0	0	0.0123	0.116	0.0027	0.0099	0.0056	0.0038	0.0028	0.0303	0.0509	0.1532	0.0289	0.101	0.0084	0.3629	0.2761	0.3123	0.0852	0.4167	0.0057	0.5148	0.0709	0.185	0.3702	0.5038	0.144	0.0841	1.6172	0.0185	0.0048	0.13	0.163	0.6365	0.9428	0.5514	0.5154	0.038	0.1416	0.013	0.5218	0.0231	0.7314	0.032	1.3371	0.1073	0.8815	0.0983
RBM15	0.4108	0.2125	0.536	1.2316	0	0.5022	0.1005	0.4281	0	0	1.0471	0	0	0	0.0253	0	0	0.1282	0	0.0888	1.4741	0.0754	0.2298	0.547	0.1642	0.1321	0.1415	0	0.2769	0.803	2.1858	0.4524	0.4963	0.5134	0.3482	0.6452	0.5188	0.2642	0.1352	0	0.4727	0.1101	0.5666	0.4521	0.1587	0.2821	0.0948	0.4633	0.2082	0.6301	0.128	1.5009	0.6775	0.1256	0.1691	0.0849	0.0515	0.078	0.1844	0.0821	0.0782	0	0.2919	0.3247	0.1239	0.0777	0.0815	0	0.0902	0.0805	0.109	0	0.124	0.0916	0.1109	0.1361	0.0466	0	0.054	0.0871	0	0	0.0685	0.6911	0.4048	0.1676	0.6839	0.7972	0	0	0	1.1414	0.0144	0.0187	0.6712	0.6535	0.8858	0.6424	0	0	0	0	0.0389	0.1071	0.0254	0	0.0934	0.3245	0.1647	0	0	0	0	0.0251	0	0	0.286	0.7116	0.0551	0.5134	0.1411	0.2582	0.4563	0	0.1378	0.311	0.1186	0.4833	0.1927	0	0.0223	0	0.2093	0.1346	0.0172	0.0555	0	0	0	0	0	0.0258	0.0641	0	0.1714	0.0607	0	0.0434	0.1623	0.0732	0.9272	0.8071	0.2229	0.0806	0.2633	0	0.5902	0.7349	0	0	0	0.0961	0.1448	0.304	0.4208	0.1474	0	0	0.09	0	0.0371	0.1461	0.1149	0.667	0.0994	0.245	0	0	0.1677
MSH2	0.1436	0	0	0.0387	0.1435	0.0606	0.8514	0.2457	0	0.2253	0.0579	0.0904	0.0358	0.2114	0.1033	0.0749	0.4095	0.1003	0.0251	0.1504	0.1158	0.055	0.3724	0.0232	0.4599	0.1777	0.2908	0	0.0378	0	0	0.1746	0.376	0.1372	0.146	0.1013	0.2578	0	0.3835	0.1806	0.1708	0.0235	0.0319	0.0701	0.1487	0	0	0.1621	0.0251	0.0957	0.1217	0.0218	0.0236	0.0919	0.1951	0.228	0.0597	0	0.3279	0.6343	0.2138	0.7605	0.3908	1.0715	0.289	0	0.354	0.4476	0.7152	0	0	0.4574	0.1976	0.6785	0.2748	0.1914	0.0847	0.1272	0.1828	0.2174	0.0612	0.3054	0.1998	0.1962	0.0858	0.2017	0.1433	0.2079	0	0.0996	1.8804	0.8729	0	0.5168	0.1027	0.4742	0.5354	0.0947	0	0	0.0594	0	0	0	0.8591	0.1639	0	0.7323	0.4974	0	0.0603	0	0	0	0.8531	0.0846	0.0738	0.1775	0.5183	0.9375	0.3183	0.2128	0.2809	0	0.1783	0.1163	0.0668	0.6006	0.0228	0.0713	0.5706	0	0.5476	0.3096	0.0411	0.0222	0.4004	0	0.0088	0.0171	0.0533	0	0	0.1675	0	0.3984	0.0823	0.07	0.0243	0	1.2127	0.6307	27.5439	0.5618	56.2003	3.7425	0.3559	0	2.819	0.1343	0.0415	0.1221	0.0839	0.1597	0.1711	0.1736	0.5106	0.6986	0	0.1942	0.133	0.0848	0.0594	0.5341	0.0344	0.0773	0.0666	0	0.1702
